EP01: IN
EP01: おはよう　ニコラ | 早上好 妮可拉
EP06: ゲームの仕様もいろいろとわかった | 游戏基本都被我们摸透了
EP06: アイテムを好きに追加できる便利なコンソールコマンドも見つけたし | 还发现了能随意添加道具的便利控制台指令
EP06: そろそろログアウトに向けて探りを入れてもいいと思うんだよな | 我觉得差不多该想办法登出游戏了
EP06: もう十分遊んだろ | 已经玩够了吧
EP06: 武器もアイテムも潤沢にある | 武器和道具完全不缺
EP06: 無敵モードもあるから敵なんていない | 还有无敌模式 可以说是所向披靡
EP06: 故につまらん | 所以才无聊
EP06: いつまでもここにいても仕方ねえ | 总不能一直待在这里
EP06: だろ | 是吧
EP06: そうですね | 说得也是
EP06: 実はさっき俺らもちょっと話して | 其实刚才我们也稍微商量了一下
EP06: 面白い意見出たんすけど | 得出了有趣的意见
EP06: ウィンドシールド | 风之盾
EP06: まずいぞ　ポーションが切れちまった | 糟糕 药水都喝完了
EP06: 魔力も尽きそうだ | 魔力也快耗尽了
EP06: ハガさん | 羽贺先生
EP06: あと少しでロウソクが | 蜡烛快要熄灭了
EP06: クソ | 可恶
EP06: ハガ　デバッグストーンを使え | 羽贺 快用调试石
EP06: 無敵モードで | 用无敌模式
EP06: 絶対… | 我绝对…
EP06: ダメです | 不会用
EP06: ここはいったん退いて　別の方法を考えましょう | 我们先暂时撤退 想别的办法吧
EP06: 仕方ありません | 只能这样了
EP06: 消えた？なんで | 消失了？为什么
EP06: ハガ　考えるのはあとだ | 羽贺 之后再想
EP06: 今のうちに走るぞ | 趁现在快跑
EP06: 社長の部屋はこの上の階だ | 社长的房间就在楼上
EP06: もう一個上 | 我们再上一层
EP06: もうロウソクが | 蜡烛快灭了
EP06: そこのチェストに隠れましょう | 先躲进那个箱子里吧
EP06: これでメインクエストからオープンワールドへ戻ったはずだ | 这下就从主线任务回到开放世界了
EP06: メインクエスト中に城に入れること | 能在主线任务中进入城堡
EP06: 謎の黒い騎士の敵がいること | 神秘的敌对黑骑士
EP06: 後でセットで報告しなきゃ | 之后得一起报告上去
EP06: 成功したみたいだな | 好像成功了
EP06: 外で声がする | 外面有动静
EP06: そうですね | 好像是的
EP06: 社長？ | 社长？
EP06: 何が起きてる | 发生什么了
EP06: #狂乱的贤帝
EP06: #主线任务 「狂乱的贤帝」 逃离贝伊鲁城 ·逃离监狱 ·已打倒拷问官
EP06: #「狂乱的贤帝」 逃离贝伊鲁城 ·逃离监狱 ·已打倒拷问官 ·打倒奇多拉并逃走
EP06: #羽贺们
EP06: #无视
EP06: #主线任务空间
EP06: #使用羽贺亲手 制作的定时炸弹
EP06: #开放世界空间
EP06: #在社长的房间 完成主线任务 回到开放世界
EP06: #羽族
EP06: #「羽族」是夜视能力突出的兽人族。 以克莱伯恩岛东北部的岛屿作为主要据点， 在与大陆的交易和航海术方面展现着卓越才能。
EP06: #阵风
EP06: #初级精灵魔法。借风之精灵的力量引发阵风。 虽然没有直接杀伤力，但是配合地形和其他因素， 可以产生让人无法忽视的效果。
EP06: #盗贼 精灵使 村民
EP06: OUT
