EP01: IN
EP01: 本当に平気 | 真的不要紧吗
EP06: ２度目だ | 第二次警告
EP06: 手を頭の後ろに | 双手抱头
EP06: 先に娘を巻き込んだのはそっちだろう | 是你们先把我女儿牵扯进来的吧
EP06: あなたは私を知っていた | 你认识我
EP06: どこで調べた | 哪里查到的
EP06: エチカ・ヒエダ電索官 | 埃缇卡·冰枝电索官
EP06: あんたは娘に私たちを裏切らせた | 你让我的女儿背叛了我们
EP06: この子はコミューンを出ては生きられない | 她离了我们组织根本没法生存
EP06: なのに　永久に一族から軽蔑されるようなまねをさせて | 但你却让她做出了让我们一族世代唾弃的事
EP06: あんたらにはわからないだろう | 你们根本就不明白吧
EP06: 守るべき文化も持たないような | 因为你们没有想保留的文化
EP06: 誇りの意味すら知らないような | 甚至不知道何为荣耀
EP06: ユア・フォルマの操り人形には | 只是YOUR FORMA的牵线木偶而已
EP06: ２度目はないぞ | 最后一次警告
EP06: 確かに私たちは　このままじゃ駄目だと思う | 我也觉得我们不能永远这么下去
EP06: でも　お父さんがEの仲間でも　そうでなくても | 但爸爸 无论你究竟是不是E的同伙
EP06: こんなやり方は間違ってる | 这样做都是不对的
EP06: お前は何もわかっていない | 你什么都不明白
EP06: 捜査局の言うことを信じるな | 不要相信搜查局
EP06: こいつらはお前をだまして | 他们欺骗了你
EP06: 私が望んで協力したの | 是我主动要求帮忙的
EP06: だって | 因为
EP06: 私がいとこのクラーラの人生を台無しにしたのよ | 我毁掉了表妹克拉拉的人生
EP06: 私のせいで　バレエアカデミーを退学に | 都是因为我 她才会从芭蕾学院退学
EP06: 彼女の夢はついえてしまった | 是我打碎了她的梦想
EP06: お母さんだって | 妈妈也一样
EP06: ちゃんとした治療さえ受けられれば | 要是她当时接受了正规的治疗
EP06: 助かったかもしれない | 说不定也能活下来
EP06: なのに… | 可是…
EP06: 行くぞ | 走吧
EP06: お父さん？ | 爸爸？
EP06: お疲れさま | 辛苦了
EP06: あとは電薬課に任せることになりそうね | 之后应该会由电药科的人接手吧
EP06: ドラッグ元締のパリでの潜伏先も電索で突き止めましたし | 贩毒集团头领在巴黎的藏身地也通过电索找出来了
EP06: お手柄です　ライザ | 干得好 莱莎
EP06: 優秀な補助官がいてくれたおかげよ | 多亏有你这么优秀辅助官
EP06: 私がお気に召しましたか | 你对我还满意吗
EP06: ええ | 当然
EP06: 全部のアミクスがあなたみたいになってほしいわ | 真希望所有AMICUS都能像你一样
EP06: 本当に | 真的吗
EP06: もちろん　だって… | 当然了 毕竟…
EP06: ひねっちゃったみたい | 好像扭到脚了
EP06: 手当てが必要です | 先紧急处理一下吧
EP06: 顔を見た | 看清脸了吗
EP06: タトゥーがありました | 他们身上有纹身
EP06: Eの信奉者です | 是E的信徒
EP06: 警備ドローンが追っていきました | 警卫无人机追上去了
EP06: すぐに捕まりますよ | 很快就能抓住他们
EP06: あなたを連れていたから　私を狙ったのかしら | 是因为和你在一起 他们才袭击我的吗
EP06: どうでしょうか | 不清楚
EP06: 他にもアミクス連れの人がいましたが | 路上也还有其他带着AMICUS的人
EP06: ご自宅までお送りします | 我送你回家吧
EP06: 申し訳ないけど　その言葉に甘えるわ | 不好意思 那就麻烦你了
EP06: とんでもない | 不用在意
EP06: あなたを守れなかったのは　私なのですから | 是我没有保护好你
EP06: それって　あなたたちの敬愛規律 | 这也是你们的敬爱规范吗
EP06: このチップが昏睡の原因だと？ | 就是这块芯片导致他昏迷？
EP06: 私たちバイオハッカーは　一人前になる時に儀式を受けるんです | 我们生物黑客出师前会举行一场仪式
EP06: 儀式？ | 仪式？
EP06: 大きな怪我や延命 | 生命垂危时
EP06: それこそ捜査局に捕まった時に | 或是被搜查局抓住的时候
EP06: 仮死状態になるため　チップを首に入れるんです | 脖子里的这块芯片就会让人陷入假死状态
EP06: 自殺行為だ | 完全是自杀
EP06: 私もそう思います　でも… | 我也这么想 但是…
EP06: みんな　ユア・フォルマユーザーに捕まるよりはましだと思ってる | 大家都觉得 这比被YOUR FORMA植入者抓去要好得多
EP06: 失敗して死んでも　それが天命だろうって | 要是出了意外直接死掉 那也是命中注定
EP06: 母もちゃんとした治療を受けたら助かったかもしれないのに | 妈妈当时要是好好接受治疗 说不定也能活下来
EP06: 制限区域を出るのを嫌がって | 但她却不愿意离开通信限制区
EP06: 父も母の意思を尊重しました | 父亲尊重母亲的想法
EP06: ２人は命よりも　誇りが大切だったんです | 他们俩都把自尊看得比生命还重要
EP06: 私には理解できない | 我理解不了他们
EP06: 確かに誇りは大事だけど | 自尊确实很重要
EP06: でも… | 但是…
EP06: お母さんが死ぬことのほうが　ずっとつらい | 妈妈就这么死了 这让我更难受
EP06: ダネルさんに今の話をしたことは | 这些话你有和丹尼尔先生说过吗
EP06: 意識が戻ったら　ちゃんと話さないと | 等他恢复意识了我要好好告诉他
EP06: 本当にEに協力していたのかどうかも聞かなくちゃ | 也要问清楚他是不是真的在帮E做事
EP06: ビガが民間協力者になったって　いつから気づいていたんだろう | 他是什么时候发现你成为了民间协助者的呢
EP06: わかりません | 我不知道
EP06: まさか　ヒエダさんのことまで調べているなんて | 没想到他都调查到冰枝小姐的事情了
EP06: それだけ君を心配していたんだ　きっと | 这也能说明 他其实很担心你吧
EP06: もし　民間協力者をやめたいなら　その時は言ってほしい | 如果你想放弃继续当民间协助者 希望那时你能告诉我
EP06: 私がやめたいのは　多分… | 我想放弃的 恐怕…
EP06: 民間協力者じゃなくて | 不是民间协助者
EP06: でもそれは　お父さんともう一緒にはいられなくなるってことだから | 不过这也就意味着 我没法再和爸爸在一起了
EP06: ダネルの所持品から　フランスのリヨン行きの航空券が出てきたそうだ | 我们从丹尼尔的随身物品里搜出了去往法国里昂的机票
EP06: リヨン？ | 里昂？
EP06: Eと繋がりがあるかどうかはわからないが | 虽然还不知道丹尼尔和E到底有没有关系
EP06: ダネルたちを電索できない以上　手掛かりはそれしかない | 但既然没法对他们进行电索 那就只剩这一条线索了
EP06: 本部に連絡してください | 先联系总部吧
EP06: 私は飛行機を予約します | 我去安排飞机
EP06: リヨンのタルト・プラリーヌってうまいよな | 里昂的果仁糖派可是一绝啊
EP06: お前　本当に太るぞ | 你小子绝对会胖的
EP06: 本当に悪いわね　何から何まで | 真是不好意思 什么都交给你做
EP06: 構いませんよ | 我不介意的
EP06: ありがとう | 谢谢
EP06: あなたも座って | 你也坐下吧
EP06: 同居人の方は　随分と長く留守にしていらっしゃるのですね | 你的室友看起来已经很久没回来了呢
EP06: 食器棚に　同じマグカップが２つありましたから | 碗橱里有两个一样的马克杯
EP06: 恋人ですか | 是男朋友吗
EP06: 兄よ | 是我哥哥
EP06: いろいろと事情があって | 发生了一些事情
EP06: 今は別の所に住んでいるの | 他现在住在别的地方
EP06: そうでしたか　寂しいでしょう | 是这样吗 很寂寞吧
EP06: 先ほどの男たちは　あなたが電索官だと気づいていたと思いますか | 你觉得刚才那帮男人知道你是电索官吗
EP06: 私は知覚犯罪事件とは関係がないわ | 我和知觉犯罪事件没有关系
EP06: それに　一般人は　私が電索官だなんて | 而且平民很难知道我电索官的身份
EP06: Eがクラッカーならば　情報を盗む手段には事欠かないでしょう | 如果E是黑客的话 他应该有很多盗取情报的手段
EP06: ごめんなさい | 对不起
EP06: 私　知覚犯罪事件とは無関係じゃないかも | 我并非和知觉犯罪事件毫无关系
EP06: どういうことです | 为什么这么说
EP06: その… | 那个…
EP06: ライザ　どうなさったのですか | 莱莎 你怎么了
EP06: 多分　Eは兄のことを知っているんだわ | 我想 E应该知道我哥哥
EP06: というと | 什么意思
EP06: 兄も電索官だったの | 我哥哥也曾是电索官
EP06: 兄は　知覚犯罪事件の捜査に協力していて | 哥哥他 协助了知觉犯罪事件的搜查
EP06: パリの感染者を電索したの | 电索了巴黎的感染者
EP06: 疲れがたまっていたのに　無理して | 明明都快累趴下了 却还要勉强自己
EP06: 「故障」してしまったのですね | 他出「故障」了对吧
EP06: 自我混濁を起こして　もう会話も成立しないのよ | 他迷失了自我 已经连交流都做不到了
EP06: 罰が当たったんだわ | 我这是遭报应了
EP06: こんな軽い怪我じゃ　罰だなんて | 但是这点小伤 连报应都算不上
EP06: 非論理的です | 这不符合逻辑
EP06: わかってる | 我知道
EP06: でも　そう思わずにはいられないの | 但是 我只能这么去想
EP06: お兄さんは　今　どちらに | 令兄现在在哪
EP06: 療養施設よ | 在疗养院
EP06: ここでは十分に面倒を見てあげられないから | 这里没法照顾好他
EP06: おつらいでしょう | 你一定很难受吧
EP06: かわいそうに | 请多保重
EP06: 大丈夫 | 没关系
EP06: ２日に一度は会いに行ってるの | 我每两天会去看望他一次
EP06: 兄さんは元々適性があったから　電索官の仕事に就くことになった | 哥哥他本来就有资质 所以成了电索官
EP06: だけど　才能はなかったのよ | 但是他没有天赋
EP06: 多分　ほとんどの電索官がそう思っている | 我猜大部分电索官都会这么想
EP06: 「天才だったらよかった」って | 「如果我是天才就好了」
EP06: ヒエダ電索官のように？ | 像冰枝电索官一样？
EP06: しかし　彼女ですらも転落してしまった | 不过就连她也失去能力了
EP06: ええ　そうね | 嗯 是啊
EP06: 私は間違っているのかも | 也可能是我搞错了
EP06: ライザ　あなたはどうか　ご自身を大切になさってください | 莱莎 请你一定要好好珍惜自己
EP06: ごめんなさい | 对不起
EP06: あなたたちは優しいから　すぐに甘えちゃう | 因为你们都很温柔 不由得就会向你撒娇
EP06: 本望ですよ | 这是我的荣幸
EP06: 人間を支えるためにこそ　我々は存在するのですから | 我们就是为了帮助人类而存在的
EP06: ライザ | 莱莎
EP06: もしも　私の推測が間違っていたら | 如果我的推测出错
EP06: 訂正していただきたいのですが | 请你纠正我
EP06: あなたは　あの知覚犯罪事件の投稿が　真実かどうかを知りたいのではありませんか | 你很想知道那篇知觉犯罪事件的帖子是不是真的吧
EP06: 捜査局のことは信じているわ | 我当然相信搜查局
EP06: Eの投稿は事実無根です | 那篇文章完全没有根据
EP06: 知覚犯罪事件に関わった私が保証します | 参与调查知觉犯罪事件的我可以保证
EP06: もちろん　私もそう思ってる | 我当然也是这么想的
EP06: 兄が命をかけた事件は　何も隠蔽なんてされていないって | 哥哥他拼命调查的事件 不会有任何的内幕
EP06: 理不尽なことが起きると　何かに理由を求めてしまうのは　人間の悪い癖よね | 但人类遭遇天降横祸时 却总想寻得一个合理的解释
EP06: ハロルド | 哈罗德
EP06: ありがとう | 谢谢你
EP06: 合同捜査？ | 合作办案？
EP06: 電索課と一緒に？ | 和电索科一起？
EP06: 指揮は電索課が執るそうだ | 指挥权应该在电索科手里
EP06: 大丈夫か | 你没问题吗
EP06: 仕事ですから | 这是我的工作
EP06: オスロに残ったセドフ捜査官から何か | 奥斯陆那边 谢多夫搜查官有消息吗
EP06: 進展は何もなし | 毫无进展
EP06: ダネルもまだ昏睡状態なんだろう | 丹尼尔也还处在昏迷状态吧
EP06: ビガが付きっきりで看病しているそうです | 比加好像也在一旁照顾他
EP06: 昨夜　うちのロバン電索官がEの信奉者に襲われたの | 昨晚 电索科的罗宾电索官被E的信徒袭击了
EP06: 幸い　軽い怪我で済んだ | 万幸只受了轻伤
EP06: それで　電索課も動くというわけですか | 所以说电索科也要采取行动了是吗
EP06: 信奉者は逮捕したわ | 袭击者已经被逮捕了
EP06: 先ほどから彼女が電索を行っている | 电索官也已经在进行电索了
EP06: 課長　今日は偶数日ですよね | 科长 今天是偶数日对吧
EP06: Eに動きは | E有什么动作吗
EP06: まだよ　いつもどおり正午に投稿してくるでしょう | 还没有 应该还会跟平常一样在正午发帖吧
EP06: ただ　Eはあのスレッド以外にも信奉者に対して | 不过 除了那个论坛
EP06: 何かしらの連絡手段を持っているかもしれないわ | E或许还有其他联络信徒的办法
EP06: どういうことですか | 究竟是怎么一回事
EP06: ロバン電索官に関して　Eは一切投稿を行っていないの | E从未发布过任何与罗宾电索官有关的东西
EP06: 容疑者はどうやって彼女が電索官だと知ったのか | 那么犯人是如何得知她是电索官的呢
EP06: 電索で明らかになるといいけど | 但愿电索可以揭晓答案
EP06: 見学しても | 能进去看看吗
EP06: 構わないわ | 可以
EP06: ヒエダ | 冰枝
EP06: 支援課の仕事はどう | 支援科的工作还习惯吗
EP06: 問題なくやれていると思います | 算是能胜任下来
EP06: 今のほうがうまくいっているぐらいで | 不如说现在的工作干起来更顺手一些
EP06: よかったわ | 那就好
EP06: 何かあったら連絡して | 有什么事记得联系
EP06: ありがとうございます | 谢谢科长
EP06: なんで　お前がここに | 你为什么在这里
EP06: 見学に来た | 来观摩工作的
EP06: まあ　気を落とすな | 你也别太沮丧了
EP06: クレーマン補助官 | 克莱曼辅助官
EP06: 彼女　自分を襲った相手に潜っても平気なのか | 她不介意潜入袭击过自己的人吗
EP06: 「一番優秀な電索官を」との　上からのお達しなんだ | 因为上面的命令说让最优秀的电索官来
EP06: 対外的にも　Eの捜査に力を入れているように見せたいらしい | 似乎对外也想表现出对E的搜查大举投入的样子
EP06: 並列処理まで可能なのか | 居然还能并行处理
EP06: １年前までは俺よりも数値が低かったんだが | 听说她一年前 能力值还没我高
EP06: 実は処理能力が伸び続ける本当の天才だったらしい | 实际却是个处理能力可以持续增长的真正天才
EP06: 本当の天才ね | 真正的天才啊
EP06: 知覚犯罪事件の真実を隠蔽した電犯局を許してはならない | 绝不原谅隐瞒知觉犯罪事件真相的电犯局
EP06: 隠蔽を主導したウイ・トトキ上級捜査官は　パールビュー駅の南 | 主导隐瞒工作的忧·十时高级搜查官就住在帕尔迪厄站南边
EP06: ５階の西 | 五楼西侧
EP06: 最愛の猫と共に | 和心爱的猫同居
EP06: 真実を追求し　正義をなせ | 快去追寻真相 伸张正义吧
EP06: とうとう　事件関係者を徹底的にたたくことにしたみたいね | 看来 终于是到直接攻击事件相关人员的地步了
EP06: 他にも　10名近くの捜査官の個人情報がさらされています | 除此之外 还有近十名搜查官的个人信息被曝了出来
EP06: エチカ・ヒエダ電索官は　イライアス・テイラーの思考誘導を黙認した | 埃缇卡·冰枝电索官默许了伊莱亚斯·泰勒的思维诱导
EP06: 彼女は今も重大な秘密を抱えている | 她依然隐瞒着重大秘密
EP06: ベルクール広場近くのホテル４階に滞在 | 现暂居于圣彼得堡广场附近的酒店四楼
EP06: 鉄槌を | 伸张正义吧
EP06: さすがは自称「思考を覗ける人間」ね | 不愧为自称「能窥视思想的人」
EP06: あなたの「マトイ」のことまで書き込むなんて | 连有关「缠」的事都写进去了
EP06: ですが　あれは終わったことです | 但是那件事都已经翻过篇了
EP06: 投稿には「今も」秘密を抱えていると書かれています | 投稿里写的却是「依然」隐瞒着秘密
EP06: 事実を誇張して　信奉者の怒りを煽ることが狙いなのかも | 可能是故意夸大事实 以此点燃信徒的怒火
EP06: 私のことも「隠蔽を主導した」と書かれているけど | 我也被写成了「主导隐瞒工作」
EP06: そこまでの権力はないのに | 我可没那么大权力
EP06: 確かに | 的确
EP06: ヒエダ捜査官 | 冰枝搜查官
EP06: ペテルブルクにいらしたはずでは | 你不是在圣彼得堡吗
EP06: 君たちと合同捜査をすることになったんだ | 接下来要和你们合作办案了
EP06: それより　Eの投稿が… | 比起那个 E的投稿…
EP06: トトキ課長 | 十时科长
EP06: 大変です　課長のご自宅が… | 不好了 科长的家…
EP06: #父女
EP06: #敬爱规范
EP06: #尊重人类
EP06: #听从人类的命令
EP06: #绝对不能攻击人类
EP06: #伊万·卢基奇·福金
EP06: #无题
EP06: #那家酒吧聚集了很多E的信徒吗？
EP06: #我们堵在路上了，看了下GPS，估计还得要半个小时。
EP06: #在我们来之前麻烦你监视入口，会合后再一起进去。
EP06: #抱歉来晚了，但我保证不是因为贪吃了挪威华夫饼。
EP06: OUT
