EP01: IN
EP01: おっす | 早
EP02: 私　自分だけが盛り上がって　空回りしてるかもって思ってたから | 我还以为只有我自顾自激动 到头来只是自嗨
EP02: 鈴木さん | 铃木同学
EP02: 好きです | 我喜欢你
EP02: って　まだ　ちゃんと言ってなかったから | 这句话我还没有好好对你说过
EP02: 言葉で伝えておきたくて | 所以想亲口告诉你
EP02: あれ | 咦
EP02: 今日　なんか言いたげだったのって　もしかして… | 今天他欲言又止的样子 难道就是…
EP02: 湯気 | 蒸汽
EP02: 鈴木の約60%は水分で出来ています | 我身体约60%的部分由水构成
EP02: みんな　そうだよ | 大家都是这样
EP02: 映画も一緒に行こうね | 顺便一起去看电影吧
EP02: 調べてくれてたよね | 正好你也你查过了
EP02: 殺して | 杀了我
EP02: なんで | 为什么
EP02: もだえ過ぎて　喉ガッサガサなっちゃった | 闹得太厉害 嗓子都哑了
EP02: もだえ過ぎて… | 闹得太厉害…
EP02: 今　歌ったら　かっこよさそう | 现在唱歌应该会很酷
EP02: 鈴木さん　飴いる | 铃木同学 要吃糖吗
EP02: 欲しい | 要吃
EP02: 谷くんのポケット　なんでも出てくるね　ありがとう | 谷同学的口袋里什么都有呢 谢谢
EP02: いや　これは… | 不 这是…
EP02: これ　おいしい | 真好吃
EP02: 誰かが俺のうわさをしている気がする | 感觉有人在背后说我
EP02: しねえよ | 才没有
EP02: よかったね | 恭喜你啊
EP02: 楽しみだなあ　初デート | 好期待第一次约会啊
EP02: 外で　谷くんと鈴木が並んで歩いてるの想像つかないね | 谷同学和铃木并肩走在外面 这画面好难想象啊
EP02: 確かに | 确实
EP02: 写真　撮ってきてよ | 记得拍照哦
EP02: 谷くんのオフショット | 要拍谷同学的生活照吗
EP02: ちゃうわい　二人の | 不是啦 合照
EP02: やだ　やだ　無理　恥ずかしい | 不要不要 不行 好害羞
EP02: 鈴木の羞恥ポイント　よく分かんないな | 铃木害羞的点真是难以理解
EP02: けど　確かに鈴木作り笑顔下手だよね | 不过铃木确实不擅长摆笑脸啊
EP02: 「えくぼは恋の落とし穴」とはよく言ったもので | 不是常有人说「酒窝引来恋情」嘛
EP02: これをえくぼと解釈する | 你这哪是酒窝啊
EP02: だからいつもわざとふざけた顔してたのか | 怪不得你那么喜欢做鬼脸啊
EP02: せっかくなんだし　思い出は残しなよ | 机会难得 一定要留下回忆哦
EP02: そっすね | 确实
EP02: にしても | 话说回来
EP02: 一体何を着ていけばいいんだ | 到底该穿什么好呢
EP02: 谷くんの服の好みとか分からないから | 不知道谷同学喜欢什么样的衣服啊
EP02: とにかく　かわいくて　大体の人が好きなやつ | 总之就选可爱的 符合大众审美的吧
EP02: そわそわし過ぎて　30分早く着いちゃった | 静不下心来 提前30分钟就到了
EP02: 緊張してきた　合流するまでに汗だくになりそう | 开始紧张了 感觉还没碰面就要满头大汗了
EP02: どっか　店入る | 要不找家店坐会
EP02: いや　でも　のんびりし過ぎて　谷くん待たせたりしたらやだ | 可要是太悠闲 让谷同学等我又不太好
EP02: 谷くん　どんな服着てくるんだろう | 谷同学会穿什么衣服来呢
EP02: 鈴木さん | 铃木同学
EP02: 谷くん | 谷同学
EP02: ごめん　待たせた | 抱歉 让你久等了
EP02: いつもとほぼ同じだ | 跟平时基本一样
EP02: 連絡くれたら急いだのに | 你发个消息我会早点到的
EP02: いや　せかしちゃ悪いから | 不 我也没想催你
EP02: むしろ　谷くん早いね | 不过 你到得也很早啊
EP02: だいたい　10分前には着くようにしてるから | 我通常都会提前10分钟左右到
EP02: 20分前 | 提前了20分钟
EP02: 出た　出た | 来了来了
EP02: すごくない　このボリューム | 这大小很厉害吧
EP02: すごいね | 厉害
EP02: いっただっきまーす | 我开动了
EP02: あれ　待てよ | 咦 等一下
EP02: 前　来たとき… | 之前来的时候…
EP02: もう　いくねえ | 哇哦 好大一口
EP02: うま | 好吃
EP02: なに | 怎么了
EP02: いや　谷くんちゃんと食べてるなって思って見てた | 没 就是看你这样觉得你吃的好认真啊
EP02: 子どもじゃないんだから | 我又不是小孩子
EP02: 鈴木さん　食べないの | 你不吃吗
EP02: 食べる　食べる | 吃的吃的
EP02: 具ごとに食べるの | 你要一层一层吃吗
EP02: 大口開けて食べるのが恥ずかしいんじゃん | 我不好意思张太大嘴吃嘛
EP02: 乙女心的なやつですがな | 这就是所谓少女心吧
EP02: ごめん　でも | 抱歉 可是
EP02: おいしい方がよくない | 还是吃起来的味道更重要吧
EP02: 間違いない | 确实啊
EP02: じゃあ　もう思いっ切り食べちゃお | 那我就放开吃了
EP02: うま | 好吃
EP02: 映画まで時間あるから　ブラブラしよっか | 电影开场还有一会儿 到处逛逛吧
EP02: 谷くん　今なんか買いたいものとか　行きたいお店ある | 你有什么想买的东西或者想去的店吗
EP02: いや | 没
EP02: じゃあ　適当に好きなとこ回っていい | 那就随便逛逛感兴趣的地方吧
EP02: もう時間だ | 到时间了
EP02: 劇場内での映画の撮影　録音は犯罪です | 影院内对电影进行摄影或录音是犯罪行为
EP02: 法律により　10年以下の… | 可能依法处10年以下…
EP02: ごめん　なんて | 抱歉 你说什么了
EP02: 何も言ってないです | 我什么都没说
EP02: またね | 再见
EP02: エンドロール後に　おまけあるタイプの映画だったね | 这部电影片尾后还有彩蛋呢
EP02: 途中　ちょっと泣いちゃった | 中间我还稍微哭了会
EP02: ちょっと | 稍微
EP02: ごめん　ちょっと　草刈りに | 抱歉 我去除个草
EP02: ブッサイク | 好丑
EP02: 急げ　急げ　あんまり長居してたら　いらぬ誤解を生んでしまう | 快点快点 待太久容易造成不必要的误会
EP02: 谷くん　ごめん　お待た… | 谷同学 抱歉 久等…
EP02: 「写真　撮ってきてよ」 | 「记得拍照哦」
EP02: すみません　写真お願いしまーす | 抱歉 可以帮我们拍个照吗
EP02: はい　撮りまーす | 好 要拍咯
EP02: 無理 | 做不到
EP02: 人に頼んでシャッター押してもらうまでの間が耐えられない | 拜托别人后 等着快门落下的时间好难熬
EP02: 鈴木さん | 铃木同学
EP02: 売店　見てく | 去店周边看看吗
EP02: 映画に出てきた　ふわもこだ | 电影里出现过的小毛球
EP02: イエティね | 是雪人
EP02: 魔女と熊もいる | 魔女和熊也有
EP02: えっと　こういうのは… | 那个 这种情况…
EP02: 記念に何か買って帰るっていうのは | 买点什么回去做纪念
EP02: 乙女心的には　どうですか | 是否符合少女心呢
EP02: ７億点です | 七亿分
EP02: どういう配点 | 怎么打的分
EP02: 写真じゃなくても　思い出は残せるもんね | 就算不拍照也能留下回忆呢
EP02: さっきの映画さあ　主人公が育った街　きれいだったね | 刚才的电影里 主人公生活的城镇真漂亮啊
EP02: ハルシオン街 | 春紫苑镇吗
EP02: そうそう | 没错没错
EP02: あと　ノースなんとかの映像もきれいだったな | 还有那个北什么的地方风景也很漂亮呢
EP02: ノースアイランド | 是北方之岛
EP02: いちばんかわいいのはふわもこちゃんなんだけど | 最可爱的还是这帮小毛球啦
EP02: イエティ | 是雪人
EP02: 家族で集まってるシーン　かわいかった | 一家人扎堆的画面太可爱了
EP02: 名前　忘れちゃったけど | 虽然忘记他们的名字了
EP02: ゴーテック　ニット　ボア　ゴーデン　ヒーテック | 戈提克 妮特 波瓦 戈登 西提克
EP02: 谷くん　めっちゃ覚えてんじゃん　やばっ | 谷同学记得这么多吗 太厉害了
EP02: 鈴木さん　ちゃんと映画見てた | 铃木同学 你认真看电影了吗
EP02: な… | 什…
EP02: ひどい　見てたし | 真过分 当然认真了
EP02: 名前とか細かいの覚えるの苦手なんだって | 我只是不擅长记名字和那些细节
EP02: ちゃんと感動したもん　心に響いたもん | 我是真的很感动 真的深有感触呢
EP02: 歌のシーンなんて　全部泣いちゃったし | 唱歌的那几段 我全都看哭了
EP02: 泣いてたね | 确实哭了呢
EP02: あとねえ | 还有还有
EP02: 魔女ちゃんが家を出るときに | 小魔女离开家时
EP02: ノールックで　イエティ…に魔法シュッてしてたの好き | 背对着雪人…唰地施展魔法那一幕我也很喜欢
EP02: 自分はブラックしか飲まないのに | 明明自己只喝黑咖啡
EP02: ミルクと砂糖入れてあげてたり | 却给雪人加了牛奶和糖
EP02: きれいな方のオムレツあげてたり | 还把好看的那份蛋包饭让给他们吃
EP02: 超ツンデレじゃんねえ　かわいい | 真是个超级傲娇 太可爱啦
EP02: そうだったっけ | 是吗
EP02: そうだよ　画面の端だったり　一瞬だったりしたけど | 就是啊 不过要么在画面角落 要么就一闪而过了
EP02: あとさあ　最後一瞬しか映らなかったけど | 还有还有 虽然只有寥寥几秒的画面
EP02: 食卓の食器の数 | 桌上的餐具
EP02: 人数分あったから | 数量正好和人数对应
EP02: みんな　ずっと一緒なんだろうなって | 想到他们能一直在一起
EP02: うれしくなっちゃった | 我就很开心
EP02: そっか　あれそういうことだったんだ | 是吗 原来是这么回事
EP02: そっか　そういう | 啊 原来如此
EP02: いい映画だね | 真是部好电影呢
EP02: 今 | 才发觉吗
EP02: ちょっと　谷くん | 喂喂 谷同学
EP02: ちゃんと映画見てた | 你认真看电影了吗
EP02: すいません | 抱歉
EP02: 谷くん的には　映画あんまり刺さらなかったかなあ | 谷同学是不是对这部电影没啥感觉啊
EP02: なんか　あっという間だったな | 感觉 时间过得真快啊
EP02: 緊張したけど楽しかったなあ | 虽然有些紧张 但是非常开心
EP02: 食べたいもの食べて | 吃了想吃的东西
EP02: 行きたい店回って | 逛了想去的店
EP02: 見たかった映画見て | 看了想看的电影
EP02: おや　全部私都合では | 不对劲 这不全将就我了吗
EP02: 着いちゃった | 到站了
EP02: 今日が終わってしまう | 今天要结束了
EP02: 家までの道のりが長くなればいいのに | 要是回去的路再长点就好了
EP02: 今日ね… | 今天…
EP02: 楽しかった | 我很开心
EP02: ちょっと　振り回しちゃったかもだけど | 虽然有些硬拉着你陪我了
EP02: 鈴木さん | 铃木同学
EP02: 僕　今日行ったお店も　見た映画も　全部 | 虽然我们今天逛的店 看的电影
EP02: ふだんの自分じゃ　選択しないようなものなんだけど | 都是我平时不会选择的东西
EP02: すごく楽しかった | 但我很开心
EP02: けど　例えば　今日と同じ場所で同じことをしたとしても | 不过 即便像今天这样在相同的地方做相同的事
EP02: 自分一人だったら　きっと今日みたいには楽しめなくて | 没有你在 我也一定无法乐在其中
EP02: えっと　つまり | 那个 就是说
EP02: 鈴木さんと一緒だから楽しかった | 正是因为和你在一起我才这么开心
EP02: ありがとう | 谢谢你
EP02: 谷くん | 谷同学
EP02: 一緒に　写真撮りたい | 我想和你一起拍张照
EP02: ここで | 在这吗
EP02: どこでもいいの | 在哪都可以
EP02: 見返したときに | 回看这张照片时
EP02: この日初めて出かけたなとか　楽しかったなとか　ドキドキしたなっての思い出したくて | 我们能想起今天的第一次约会 想起此时的快乐与心动
EP02: その記録的な | 我想要这样的纪念
EP02: えっと　じゃあ　どうする | 那么 我要做什么
EP02: 谷くん　ここ立って | 你站在这里
EP02: もうちょっと顔こっち | 脸再靠这边点
EP02: はい　撮りまーす | 好 要拍了
EP02: じゃあね　谷くん | 拜拜 谷同学
EP02: また　学校で | 学校见
EP02: パンダ　かわいいよね | 熊猫 真可爱呢
EP02: 好き | 你喜欢吗
EP02: うん　好き | 嗯 我喜欢
EP02: うれしい | 好开心
EP02: なんだろう　この　谷くんのことはもちろんだけど | 我当然明白我喜欢谷同学的这份感受
